cohort_v2,wallets,pct_touched,pct_maker_side,pct_taker_side,pnl_per_usd_pct,pnl_usd,median_exact_dollar_buys_pct,sells_pct_of_volume,median_active_hours
Pro-MM,568,36.8,68.0,4.1,0.32,14978,3,18,19
Part-time MM,271,2.6,4.6,0.4,-2.53,-8211,5,8,6
Neutral bot,437,24.2,14.0,34.9,0.89,27346,9,8,7
Directional bot,1011,19.8,9.2,30.9,1.15,28742,6,10,18
Session trader,2304,14.9,3.4,26.9,-3.02,-56987,39,26,6
Retail,3855,1.8,0.7,2.9,-2.62,-5910,0,15,1
