cohort,rank,wallet,touched_vol_musd,maker_share,n_fills,n_unique_markets,fills_per_day,lp_rewards_usd,lp_rewards_observed,lp_rewards_confirmed_1k,complete_set_arber,large_ticket_whale,confidence
Mid-MM,6,0x18f120e8d3929f4ba2147ac5781cc86c2bd9ffb0,3.62,0.987,185,6,26,63,True,False,False,True,Medium
Mid-MM,7,0x8d419055059efab45fd2d9f93d4bce93e7a05a95,3.6,0.934,467,6,67,0,False,False,False,True,Medium
Mid-MM,8,0x9ea2d94198dbe4afa6369c123eb8abfc77fb8e29,3.57,0.946,453,5,91,0,False,False,False,True,Low
Mid-MM,9,0x6b4d0b9b25137ca56f342582fbe773c7cbc4be52,3.55,0.893,1884,59,65,171,True,False,False,True,Medium
Mid-MM,10,0xf7d7072951c613e410342f0b651d259fc6839240,3.55,0.962,714,7,65,2,True,False,False,True,Medium
Mid-MM,11,0x6952f6204561646d1172fd316d86b5784f80ba8f,3.48,0.987,287,12,32,0,False,False,False,True,Medium
Mid-MM,12,0xd77850aae118dbc2d910687cc03a7a50bec4b496,3.33,0.796,2321,98,86,10403,True,True,False,True,High
Mid-MM,13,0xec489dacd37dd34d7a380d8ef3afc60601dff415,3.15,0.764,1496,22,94,51,True,False,False,True,Low
Mid-MM,14,0xc15b833b6991e5dbcaca029f7d0f951e5db238af,2.89,0.904,1677,32,67,465,True,False,False,True,Medium
Mid-MM,15,0x2b44d9764fbbd2b07fbc48212aee4da331806062,2.87,0.979,1736,108,60,20496,True,True,False,True,High
Mid-MM,16,0x3516f7a0163bf2050f4337802453524603b38af5,2.73,0.999,194,5,49,0,False,False,False,True,Medium
Mid-MM,17,0xbe492e66494f051e0d7d0db8d4a71c1f90081032,2.71,0.891,789,31,42,130,True,False,False,True,Medium
Mid-MM,18,0x2158583da0405538933216ce90063c0979e9c922,2.65,0.942,2768,377,92,0,False,False,False,True,Low
Mid-MM,19,0x7fe5ef4ce1df1634411f79654f0fd0af596a51b9,2.64,1,114,3,29,0,False,False,False,True,Medium
Mid-MM,20,0xe1f4514ed0f07f2a395aec1ded286ebcb3a96f32,2.55,0.946,1011,23,39,8606,True,True,False,True,High
Pro-MM,1,0xba325e7069ad57592e81b6069c59181af38d7afc,70.91,0.994,3083,19,181,37,True,False,False,True,Medium
Pro-MM,2,0x2005d16a84ceefa912d4e380cd32e7ff827875ea,57,0.82,592389,13800,19746,163697,True,True,True,False,High
Pro-MM,3,0x96bde0dd1d5ba5cc8e1c74cdec14041564a1363a,54.41,0.913,160552,4264,5352,544828,True,True,False,False,High
Pro-MM,4,0xfe787d2da716d60e8acff57fb87eb13cd4d10319,52.89,0.746,244532,7947,8151,78305,True,True,True,False,High
Pro-MM,5,0x9495425feeb0c250accb89275c97587011b19a27,41.9,0.82,82103,3421,2737,8023,True,True,False,True,High
Pro-MM,6,0x2a2c53bd278c04da9962fcf96490e17f3dfb9bc1,36.66,0.819,29077,526,1454,370242,True,True,True,True,High
Pro-MM,7,0x16e3a7afe4dd8a9948672f60b9aaf66934964ac1,26.87,0.922,40780,1452,1359,2869,True,True,False,True,High
Pro-MM,8,0xb239159f41cd8f79d0e71be753d6988c6b501ee6,25.06,0.99,1259,9,210,2,True,False,False,True,Medium
Pro-MM,9,0x7270ae1504a064896753a6baf91c06d742ce29d1,22.78,0.931,150807,4182,5027,80034,True,True,False,False,High
Pro-MM,10,0xfd1a88d04219cbdb06f7cfb427bc4d93fe47b2c3,19.59,0.968,3862,25,184,0,False,False,False,True,Medium
Pro-MM,11,0xf6ae6df55d8108b2f22a13e14cfbdcdf62630439,19.04,0.828,13930,190,464,90129,True,True,False,True,High
Pro-MM,12,0x07b0e21ff4a623c20a9042ab89c9641dedfcf528,18.9,0.921,9394,186,313,4820,True,True,False,True,High
Pro-MM,13,0xbf06752230ab84148abeebc3f7879a823d7bb424,18.17,0.894,193194,6296,6440,17921,True,True,False,False,High
Pro-MM,14,0x2c335066fe58fe9237c3d3dc7b275c2a034a0563,17.34,0.72,14841,295,1142,13,True,False,False,True,Low
Pro-MM,15,0x0346afae2603313d2bbee96b628536c8cbe352a5,17.21,0.78,226498,6442,9437,747,True,False,False,False,Medium
Pro-MM,16,0x4f29e103339919c4baaea2a60195cf1c8bb27a7e,16.16,0.922,112171,1170,5341,0,False,False,False,False,Medium
Pro-MM,17,0x613bff13e2fd9489359899db604940d83b808ceb,12.09,0.982,27907,1356,930,23,True,False,False,False,Medium
Pro-MM,18,0xd950a1a89f3e61a7a9efc85a46e440ce58c15e86,11.43,0.921,1881487,7322,144730,0,False,False,False,False,Medium
Pro-MM,19,0xa16a1302ca05463f30faebeb5c045767fde233a1,11.23,0.949,22535,4512,751,25,True,False,False,False,Medium
Pro-MM,20,0xc3ff58b41091ac1a7de3cbe30280c65d7e67f545,10.88,0.895,21027,863,701,5438,True,True,False,True,High
Retail,1,0x5195396556aa51e4c123bacc9fe965fd102d1947,2.87,1,93,14,9,10771,True,True,False,True,Low
