rank,wallet,cohort,touched_vol_musd,equivalent_single_counted_musd,maker_share,n_fills,n_unique_markets,fills_per_day,lp_rewards_usd,lp_rewards_observed,lp_rewards_confirmed_1k
48,0x864e996c3143026b6c230945dd917de1922347b3,highMkr_fast,10.2,5.1,0.962,3375,29,211,0,False,False
49,0x0997f4b1f822423c65907c57963fe7191e1ec9f6,highMkr_fast,10.06,5.03,0.997,40335,4842,1345,0,False,False
50,0xadbc0e0a79f206ced573b3fb92bd7357dab04551,highMkr_fast,10.02,5.01,0.829,12042,147,430,562,True,False
51,0xdf0d2ccfe3d7c2ef120395534e43afe283509f79,highMkr_fast,9.91,4.95,0.962,229243,19119,12736,0,False,False
52,0x492442eab586f242b53bda933fd5de859c8a3782,lowMkr_fast,9.86,4.93,0.016,2912,85,116,3,True,False
53,0xa5e9aaeec6a4f4017917ef0f04ef324d2177dc54,highMkr_fast,9.75,4.88,1,1011193,8671,34869,35,True,False
54,0x76d4d4703add6e94cfdb1107f3d991d85ff2c512,highMkr_fast,9.6,4.8,0.993,1551141,32604,51705,0,False,False
55,0xf284ad6d607f777f34bc643cea587c33a886b9f9,midMkr_fast,9.57,4.78,0.656,21190,363,921,0,False,False
56,0xc9e52043d3a7f066c3d4416c6ccda86462fb8c02,highMkr_fast,9.52,4.76,0.959,44947,4246,1498,1724,True,True
57,0xde9f7f4e77a1595623ceb58e469f776257ccd43c,lowMkr_fast,9.3,4.65,0.223,115615,1336,3854,520,True,False
58,0x33ab58e55895f39619815d31dfc92d90d65f9523,highMkr_fast,9.3,4.65,0.982,11493,1554,383,0,False,False
59,0xabb89972b21b304c1bed2bf26f35c8741ac9bba3,lowMkr_fast,9.12,4.56,0.206,10968,299,366,143,True,False
60,0x69222390574943cc3a4a4000d8e76f2adf464e06,highMkr_fast,8.94,4.47,0.986,12190,169,554,0,False,False
61,0x13f0bcec1e2e60ec9acc3bee4d2da2fe9694a50f,highMkr_fast,8.84,4.42,0.998,32243,4260,1075,0,False,False
62,0x9ad6c5316aea1f5dade839e607bfb5437fb54251,highMkr_fast,8.8,4.4,0.999,34297,4265,1143,0,False,False
63,0x50f70770b15287f75cb601076c362bc436f1812b,midMkr_fast,8.74,4.37,0.659,167918,19249,5997,0,False,False
64,0x1887879a1bda615e88f280b582514c7d54e2678a,lowMkr_fast,8.63,4.32,0.051,2923,7,731,0,False,False
65,0x4d2352dd1719fac358b1c3132ad3779cb76da28c,highMkr_fast,8.52,4.26,0.982,28604,103,953,23177,True,True
66,0x6fc44ec445d73c635ae9029cdaff52f8eb62c89d,highMkr_fast,8.5,4.25,0.999,29846,4077,995,0,False,False
67,0xb2fab600e1b2f365a76a8c982c1dd715787d4bb8,highMkr_fast,8.42,4.21,1,685302,41397,22843,0,False,False
68,0xf3ce251f9c4ae0f3940a9f32de5dd1a1d05b8bc6,highMkr_fast,8.25,4.13,0.96,168827,13636,12059,0,False,False
69,0x79c510469bd1bb14616dda7cf8625d920d10e7da,lowMkr_med,8.19,4.1,0,67,1,67,0,False,False
70,0x1fe9073aefb81bd97c4f620b8e2e251a80a688c5,highMkr_fast,8.15,4.07,1,74832,2584,2494,21283,True,True
71,0x31e5de361f4879250961c7783d625f54950f3eb4,highMkr_fast,8.13,4.07,0.956,14125,1219,471,0,False,False
72,0xe3fcffe2086f02c002cc8abbdb31403c03e1eccb,highMkr_fast,8.1,4.05,0.936,3352,236,146,19,True,False
73,0xae43e21d01d45c4531570be57e667e498502a786,midMkr_fast,8.06,4.03,0.406,88055,1231,3036,161,True,False
74,0x1136368d7f6728e94ed14c532ab95a932f710c2e,midMkr_fast,7.83,3.92,0.504,17355,349,1240,0,False,False
75,0x6ac5bb06a9eb05641fd5e82640268b92f3ab4b6e,midMkr_fast,7.74,3.87,0.636,14995,100,1071,15965,True,True
76,0x13414a77a4be48988851c73dfd824d0168e70853,highMkr_fast,7.73,3.86,0.755,23276,752,776,4224,True,True
77,0x2a84853bae7c655d191935a643cae7f3da252c98,midMkr_fast,7.58,3.79,0.681,128873,16646,4957,0,False,False
78,0xadfb6cba33cebca02eab6111ace1e3924b9cc2ef,highMkr_fast,7.47,3.73,0.974,101321,9676,3377,6928,True,True
79,0x5b6331e7ff0831a3fe2ed12004747db1a9c911a4,lowMkr_fast,7.47,3.73,0,233036,22116,7768,66,True,False
80,0x13cedf588f3c4acc373c54a9931ac5829593ae8d,highMkr_fast,7.45,3.72,0.913,3158,79,113,2584,True,True
81,0x29658768bfb8d8b1412cde1a009c43235ffc9a26,lowMkr_fast,7.43,3.71,0.001,90838,332,3028,0,False,False
82,0xfe681735ac7f6a171f221bfc7ca2c344a98fba73,highMkr_fast,7.42,3.71,0.984,3511,18,130,88,True,False
83,0xe339bba7fba043520d83516ce22add16beb6e01b,lowMkr_med,7.39,3.7,0,331,5,24,0,False,False
84,0xe16d3f2a5807999b358affd9445c3a09e45e5e30,lowMkr_fast,7.37,3.68,0,17444,355,646,0,False,False
85,0x9b979a065641e8cfde3022a30ed2d9415cf55e12,highMkr_med,7.33,3.67,0.986,278,13,25,1147,True,True
86,0x71b7e30a26c8dce4a661558b4f3ff513e3d34012,midMkr_fast,7.31,3.66,0.689,25600,47,883,1304,True,True
87,0xbaa2bcb5439e985ce4ccf815b4700027d1b92c73,midMkr_fast,7.23,3.62,0.455,14682,113,489,27213,True,True
88,0x3dfb153c197d4c19d3b31c1ecd2c7b6860eeabaf,lowMkr_fast,7.14,3.57,0.205,9348,250,334,32,True,False
89,0x5188fa0e8a77e87bc6a58e6781fdfc4e165cc804,midMkr_fast,7.05,3.53,0.416,8238,153,284,7357,True,True
90,0x6db568e61e5e3de7d87f831431b673f38ce2e279,lowMkr_fast,6.99,3.49,0,17585,131,586,0,False,False
91,0x0d2d845a6ff64e31e04a70afce8a573940767ff5,highMkr_fast,6.94,3.47,0.985,358068,14564,15568,0,False,False
92,0xecfa746a8c5b41116cf641cbb2a263905f642c8c,lowMkr_fast,6.92,3.46,0.096,981236,17000,37740,0,False,False
93,0x737266aa4d4ddb5280decafd3a612b3a7a56f581,midMkr_fast,6.87,3.43,0.642,74787,5581,2579,4765,True,True
94,0x21ffd2b7a212a6f277ed3eca1a9f8efcbca90d71,highMkr_fast,6.87,3.43,0.997,162313,8771,5410,215464,True,True
95,0xc8075693f48668a264b9fa313b47f52712fcc12b,midMkr_fast,6.84,3.42,0.368,8372,176,289,952,True,False
96,0xf9c1190aa8184bcbe418e6f5321c53b0bfbc39e2,midMkr_fast,6.82,3.41,0.636,7965,60,266,169,True,False
97,0x8f1b2d1a2d1cfb1128182eefebb0e741034a5940,highMkr_fast,6.77,3.38,0.874,6813,174,235,0,False,False
98,0xe9cbb1c9b3f7f411dd4fdf2ea7afa780c8b4d096,highMkr_fast,6.74,3.37,1,33583,45,1199,19765,True,True
99,0xcf12f5b99605cb299fb11d5eff4fb304de008d02,highMkr_fast,6.73,3.36,0.923,10114,488,349,716,True,False
100,0xc96aeabae8c81faf8d803201da1d2461cefc396a,highMkr_fast,6.68,3.34,0.899,6705,298,224,5719,True,True
